embryo_cut_rate,germline_cut_rate,Dwt_female_fitness,threshold,capacity
0.0,0.0,1.0,1.0,100000
0.05,0.0,1.0,1.0,100000
0.1,0.0,1.0,1.0,100000
0.15,0.0,1.0,1.0,100000
0.2,0.0,1.0,1.0,100000
0.25,0.0,1.0,1.0,100000
0.3,0.0,1.0,1.0,100000
0.35,0.0,1.0,1.0,100000
0.4,0.0,1.0,1.0,100000
0.45,0.0,1.0,1.0,100000
0.5,0.0,1.0,1.0,100000
0.55,0.0,1.0,1.0,100000
0.6,0.0,1.0,1.0,100000
0.65,0.0,1.0,1.0,100000
0.7,0.0,1.0,1.0,100000
0.75,0.0,1.0,1.0,100000
0.8,0.0,1.0,1.0,100000
0.85,0.0,1.0,0.96,100000
0.9,0.0,1.0,0.96,100000
0.95,0.0,1.0,0.94,100000
1.0,0.0,1.0,0.93,100000
0.0,0.05,1.0,1.0,100000
0.05,0.05,1.0,1.0,100000
0.1,0.05,1.0,1.0,100000
0.15,0.05,1.0,1.0,100000
0.2,0.05,1.0,1.0,100000
0.25,0.05,1.0,1.0,100000
0.3,0.05,1.0,1.0,100000
0.35,0.05,1.0,1.0,100000
0.4,0.05,1.0,1.0,100000
0.45,0.05,1.0,1.0,100000
0.5,0.05,1.0,1.0,100000
0.55,0.05,1.0,1.0,100000
0.6,0.05,1.0,1.0,100000
0.65,0.05,1.0,1.0,100000
0.7,0.05,1.0,1.0,100000
0.75,0.05,1.0,1.0,100000
0.8,0.05,1.0,0.99,100000
0.85,0.05,1.0,0.94,100000
0.9,0.05,1.0,0.94,100000
0.95,0.05,1.0,0.93,100000
1.0,0.05,1.0,0.92,100000
0.0,0.1,1.0,1.0,100000
0.05,0.1,1.0,1.0,100000
0.1,0.1,1.0,1.0,100000
0.15,0.1,1.0,1.0,100000
0.2,0.1,1.0,1.0,100000
0.25,0.1,1.0,1.0,100000
0.3,0.1,1.0,1.0,100000
0.35,0.1,1.0,1.0,100000
0.4,0.1,1.0,1.0,100000
0.45,0.1,1.0,1.0,100000
0.5,0.1,1.0,1.0,100000
0.55,0.1,1.0,1.0,100000
0.6,0.1,1.0,1.0,100000
0.65,0.1,1.0,1.0,100000
0.7,0.1,1.0,1.0,100000
0.75,0.1,1.0,1.0,100000
0.8,0.1,1.0,0.97,100000
0.85,0.1,1.0,0.95,100000
0.9,0.1,1.0,0.93,100000
0.95,0.1,1.0,0.9,100000
1.0,0.1,1.0,0.91,100000
0.0,0.15,1.0,1.0,100000
0.05,0.15,1.0,1.0,100000
0.1,0.15,1.0,1.0,100000
0.15,0.15,1.0,1.0,100000
0.2,0.15,1.0,1.0,100000
0.25,0.15,1.0,1.0,100000
0.3,0.15,1.0,1.0,100000
0.35,0.15,1.0,1.0,100000
0.4,0.15,1.0,1.0,100000
0.45,0.15,1.0,1.0,100000
0.5,0.15,1.0,1.0,100000
0.55,0.15,1.0,1.0,100000
0.6,0.15,1.0,1.0,100000
0.65,0.15,1.0,1.0,100000
0.7,0.15,1.0,1.0,100000
0.75,0.15,1.0,0.97,100000
0.8,0.15,1.0,0.95,100000
0.85,0.15,1.0,0.91,100000
0.9,0.15,1.0,0.89,100000
0.95,0.15,1.0,0.88,100000
1.0,0.15,1.0,0.91,100000
0.0,0.2,1.0,1.0,100000
0.05,0.2,1.0,1.0,100000
0.1,0.2,1.0,1.0,100000
0.15,0.2,1.0,1.0,100000
0.2,0.2,1.0,1.0,100000
0.25,0.2,1.0,1.0,100000
0.3,0.2,1.0,1.0,100000
0.35,0.2,1.0,1.0,100000
0.4,0.2,1.0,1.0,100000
0.45,0.2,1.0,1.0,100000
0.5,0.2,1.0,1.0,100000
0.55,0.2,1.0,1.0,100000
0.6,0.2,1.0,1.0,100000
0.65,0.2,1.0,1.0,100000
0.7,0.2,1.0,1.0,100000
0.75,0.2,1.0,0.94,100000
0.8,0.2,1.0,0.92,100000
0.85,0.2,1.0,0.9,100000
0.9,0.2,1.0,0.9,100000
0.95,0.2,1.0,0.89,100000
1.0,0.2,1.0,0.88,100000
0.0,0.25,1.0,1.0,100000
0.05,0.25,1.0,1.0,100000
0.1,0.25,1.0,1.0,100000
0.15,0.25,1.0,1.0,100000
0.2,0.25,1.0,1.0,100000
0.25,0.25,1.0,1.0,100000
0.3,0.25,1.0,1.0,100000
0.35,0.25,1.0,1.0,100000
0.4,0.25,1.0,1.0,100000
0.45,0.25,1.0,1.0,100000
0.5,0.25,1.0,1.0,100000
0.55,0.25,1.0,1.0,100000
0.6,0.25,1.0,1.0,100000
0.65,0.25,1.0,1.0,100000
0.7,0.25,1.0,0.98,100000
0.75,0.25,1.0,0.93,100000
0.8,0.25,1.0,0.89,100000
0.85,0.25,1.0,0.89,100000
0.9,0.25,1.0,0.86,100000
0.95,0.25,1.0,0.87,100000
1.0,0.25,1.0,0.86,100000
0.0,0.3,1.0,1.0,100000
0.05,0.3,1.0,1.0,100000
0.1,0.3,1.0,1.0,100000
0.15,0.3,1.0,1.0,100000
0.2,0.3,1.0,1.0,100000
0.25,0.3,1.0,1.0,100000
0.3,0.3,1.0,1.0,100000
0.35,0.3,1.0,1.0,100000
0.4,0.3,1.0,1.0,100000
0.45,0.3,1.0,1.0,100000
0.5,0.3,1.0,1.0,100000
0.55,0.3,1.0,1.0,100000
0.6,0.3,1.0,1.0,100000
0.65,0.3,1.0,0.98,100000
0.7,0.3,1.0,0.93,100000
0.75,0.3,1.0,0.88,100000
0.8,0.3,1.0,0.89,100000
0.85,0.3,1.0,0.88,100000
0.9,0.3,1.0,0.87,100000
0.95,0.3,1.0,0.86,100000
1.0,0.3,1.0,0.85,100000
0.0,0.35,1.0,1.0,100000
0.05,0.35,1.0,1.0,100000
0.1,0.35,1.0,1.0,100000
0.15,0.35,1.0,1.0,100000
0.2,0.35,1.0,1.0,100000
0.25,0.35,1.0,1.0,100000
0.3,0.35,1.0,1.0,100000
0.35,0.35,1.0,1.0,100000
0.4,0.35,1.0,1.0,100000
0.45,0.35,1.0,1.0,100000
0.5,0.35,1.0,1.0,100000
0.55,0.35,1.0,1.0,100000
0.6,0.35,1.0,1.0,100000
0.65,0.35,1.0,0.95,100000
0.7,0.35,1.0,0.91,100000
0.75,0.35,1.0,0.88,100000
0.8,0.35,1.0,0.86,100000
0.85,0.35,1.0,0.85,100000
0.9,0.35,1.0,0.81,100000
0.95,0.35,1.0,0.85,100000
1.0,0.35,1.0,0.86,100000
0.0,0.4,1.0,1.0,100000
0.05,0.4,1.0,1.0,100000
0.1,0.4,1.0,1.0,100000
0.15,0.4,1.0,1.0,100000
0.2,0.4,1.0,1.0,100000
0.25,0.4,1.0,1.0,100000
0.3,0.4,1.0,1.0,100000
0.35,0.4,1.0,1.0,100000
0.4,0.4,1.0,1.0,100000
0.45,0.4,1.0,1.0,100000
0.5,0.4,1.0,1.0,100000
0.55,0.4,1.0,1.0,100000
0.6,0.4,1.0,0.97,100000
0.65,0.4,1.0,0.9,100000
0.7,0.4,1.0,0.87,100000
0.75,0.4,1.0,0.83,100000
0.8,0.4,1.0,0.84,100000
0.85,0.4,1.0,0.83,100000
0.9,0.4,1.0,0.81,100000
0.95,0.4,1.0,0.81,100000
1.0,0.4,1.0,0.82,100000
0.0,0.45,1.0,1.0,100000
0.05,0.45,1.0,1.0,100000
0.1,0.45,1.0,1.0,100000
0.15,0.45,1.0,1.0,100000
0.2,0.45,1.0,1.0,100000
0.25,0.45,1.0,1.0,100000
0.3,0.45,1.0,1.0,100000
0.35,0.45,1.0,1.0,100000
0.4,0.45,1.0,1.0,100000
0.45,0.45,1.0,1.0,100000
0.5,0.45,1.0,1.0,100000
0.55,0.45,1.0,0.98,100000
0.6,0.45,1.0,0.91,100000
0.65,0.45,1.0,0.85,100000
0.7,0.45,1.0,0.83,100000
0.75,0.45,1.0,0.83,100000
0.8,0.45,1.0,0.79,100000
0.85,0.45,1.0,0.76,100000
0.9,0.45,1.0,0.8,100000
0.95,0.45,1.0,0.78,100000
1.0,0.45,1.0,0.81,100000
0.0,0.5,1.0,1.0,100000
0.05,0.5,1.0,1.0,100000
0.1,0.5,1.0,1.0,100000
0.15,0.5,1.0,1.0,100000
0.2,0.5,1.0,1.0,100000
0.25,0.5,1.0,1.0,100000
0.3,0.5,1.0,1.0,100000
0.35,0.5,1.0,1.0,100000
0.4,0.5,1.0,1.0,100000
0.45,0.5,1.0,1.0,100000
0.5,0.5,1.0,1.0,100000
0.55,0.5,1.0,0.79,100000
0.6,0.5,1.0,0.77,100000
0.65,0.5,1.0,0.77,100000
0.7,0.5,1.0,0.77,100000
0.75,0.5,1.0,0.75,100000
0.8,0.5,1.0,0.72,100000
0.85,0.5,1.0,0.74,100000
0.9,0.5,1.0,0.77,100000
0.95,0.5,1.0,0.76,100000
1.0,0.5,1.0,0.78,100000
0.0,0.55,1.0,1.0,100000
0.05,0.55,1.0,1.0,100000
0.1,0.55,1.0,1.0,100000
0.15,0.55,1.0,1.0,100000
0.2,0.55,1.0,1.0,100000
0.25,0.55,1.0,1.0,100000
0.3,0.55,1.0,1.0,100000
0.35,0.55,1.0,1.0,100000
0.4,0.55,1.0,0.85,100000
0.45,0.55,1.0,0.78,100000
0.5,0.55,1.0,0.72,100000
0.55,0.55,1.0,0.71,100000
0.6,0.55,1.0,0.7,100000
0.65,0.55,1.0,0.72,100000
0.7,0.55,1.0,0.71,100000
0.75,0.55,1.0,0.71,100000
0.8,0.55,1.0,0.71,100000
0.85,0.55,1.0,0.73,100000
0.9,0.55,1.0,0.74,100000
0.95,0.55,1.0,0.73,100000
1.0,0.55,1.0,0.76,100000
0.0,0.6,1.0,1.0,100000
0.05,0.6,1.0,1.0,100000
0.1,0.6,1.0,1.0,100000
0.15,0.6,1.0,1.0,100000
0.2,0.6,1.0,0.99,100000
0.25,0.6,1.0,0.95,100000
0.3,0.6,1.0,0.88,100000
0.35,0.6,1.0,0.69,100000
0.4,0.6,1.0,0.6,100000
0.45,0.6,1.0,0.62,100000
0.5,0.6,1.0,0.62,100000
0.55,0.6,1.0,0.65,100000
0.6,0.6,1.0,0.64,100000
0.65,0.6,1.0,0.66,100000
0.7,0.6,1.0,0.67,100000
0.75,0.6,1.0,0.68,100000
0.8,0.6,1.0,0.68,100000
0.85,0.6,1.0,0.71,100000
0.9,0.6,1.0,0.71,100000
0.95,0.6,1.0,0.74,100000
1.0,0.6,1.0,0.73,100000
0.0,0.65,1.0,1.0,100000
0.05,0.65,1.0,1.0,100000
0.1,0.65,1.0,1.0,100000
0.15,0.65,1.0,0.91,100000
0.2,0.65,1.0,0.94,100000
0.25,0.65,1.0,0.63,100000
0.3,0.65,1.0,0.52,100000
0.35,0.65,1.0,0.53,100000
0.4,0.65,1.0,0.53,100000
0.45,0.65,1.0,0.55,100000
0.5,0.65,1.0,0.58,100000
0.55,0.65,1.0,0.58,100000
0.6,0.65,1.0,0.61,100000
0.65,0.65,1.0,0.62,100000
0.7,0.65,1.0,0.63,100000
0.75,0.65,1.0,0.64,100000
0.8,0.65,1.0,0.66,100000
0.85,0.65,1.0,0.67,100000
0.9,0.65,1.0,0.7,100000
0.95,0.65,1.0,0.71,100000
1.0,0.65,1.0,0.71,100000
0.0,0.7,1.0,0.98,100000
0.05,0.7,1.0,0.94,100000
0.1,0.7,1.0,0.85,100000
0.15,0.7,1.0,0.55,100000
0.2,0.7,1.0,0.35,100000
0.25,0.7,1.0,0.4,100000
0.3,0.7,1.0,0.42,100000
0.35,0.7,1.0,0.46,100000
0.4,0.7,1.0,0.47,100000
0.45,0.7,1.0,0.54,100000
0.5,0.7,1.0,0.52,100000
0.55,0.7,1.0,0.53,100000
0.6,0.7,1.0,0.56,100000
0.65,0.7,1.0,0.58,100000
0.7,0.7,1.0,0.6,100000
0.75,0.7,1.0,0.6,100000
0.8,0.7,1.0,0.65,100000
0.85,0.7,1.0,0.64,100000
0.9,0.7,1.0,0.69,100000
0.95,0.7,1.0,0.72,100000
1.0,0.7,1.0,0.68,100000
0.0,0.75,1.0,0.06,100000
0.05,0.75,1.0,0.13,100000
0.1,0.75,1.0,0.19,100000
0.15,0.75,1.0,0.23,100000
0.2,0.75,1.0,0.29,100000
0.25,0.75,1.0,0.35,100000
0.3,0.75,1.0,0.38,100000
0.35,0.75,1.0,0.41,100000
0.4,0.75,1.0,0.44,100000
0.45,0.75,1.0,0.47,100000
0.5,0.75,1.0,0.49,100000
0.55,0.75,1.0,0.52,100000
0.6,0.75,1.0,0.53,100000
0.65,0.75,1.0,0.55,100000
0.7,0.75,1.0,0.57,100000
0.75,0.75,1.0,0.59,100000
0.8,0.75,1.0,0.61,100000
0.85,0.75,1.0,0.62,100000
0.9,0.75,1.0,0.65,100000
0.95,0.75,1.0,0.67,100000
1.0,0.75,1.0,0.68,100000
0.0,0.8,1.0,0.03,100000
0.05,0.8,1.0,0.11,100000
0.1,0.8,1.0,0.16,100000
0.15,0.8,1.0,0.21,100000
0.2,0.8,1.0,0.26,100000
0.25,0.8,1.0,0.3,100000
0.3,0.8,1.0,0.34,100000
0.35,0.8,1.0,0.38,100000
0.4,0.8,1.0,0.41,100000
0.45,0.8,1.0,0.44,100000
0.5,0.8,1.0,0.47,100000
0.55,0.8,1.0,0.49,100000
0.6,0.8,1.0,0.52,100000
0.65,0.8,1.0,0.52,100000
0.7,0.8,1.0,0.55,100000
0.75,0.8,1.0,0.56,100000
0.8,0.8,1.0,0.58,100000
0.85,0.8,1.0,0.61,100000
0.9,0.8,1.0,0.63,100000
0.95,0.8,1.0,0.65,100000
1.0,0.8,1.0,0.66,100000
0.0,0.85,1.0,0.04,100000
0.05,0.85,1.0,0.09,100000
0.1,0.85,1.0,0.13,100000
0.15,0.85,1.0,0.19,100000
0.2,0.85,1.0,0.24,100000
0.25,0.85,1.0,0.27,100000
0.3,0.85,1.0,0.32,100000
0.35,0.85,1.0,0.35,100000
0.4,0.85,1.0,0.39,100000
0.45,0.85,1.0,0.42,100000
0.5,0.85,1.0,0.44,100000
0.55,0.85,1.0,0.47,100000
0.6,0.85,1.0,0.48,100000
0.65,0.85,1.0,0.51,100000
0.7,0.85,1.0,0.53,100000
0.75,0.85,1.0,0.54,100000
0.8,0.85,1.0,0.56,100000
0.85,0.85,1.0,0.59,100000
0.9,0.85,1.0,0.59,100000
0.95,0.85,1.0,0.62,100000
1.0,0.85,1.0,0.63,100000
0.0,0.9,1.0,0.03,100000
0.05,0.9,1.0,0.08,100000
0.1,0.9,1.0,0.13,100000
0.15,0.9,1.0,0.17,100000
0.2,0.9,1.0,0.21,100000
0.25,0.9,1.0,0.25,100000
0.3,0.9,1.0,0.29,100000
0.35,0.9,1.0,0.33,100000
0.4,0.9,1.0,0.36,100000
0.45,0.9,1.0,0.39,100000
0.5,0.9,1.0,0.41,100000
0.55,0.9,1.0,0.45,100000
0.6,0.9,1.0,0.47,100000
0.65,0.9,1.0,0.5,100000
0.7,0.9,1.0,0.5,100000
0.75,0.9,1.0,0.53,100000
0.8,0.9,1.0,0.55,100000
0.85,0.9,1.0,0.57,100000
0.9,0.9,1.0,0.59,100000
0.95,0.9,1.0,0.59,100000
1.0,0.9,1.0,0.62,100000
0.0,0.95,1.0,0.03,100000
0.05,0.95,1.0,0.07,100000
0.1,0.95,1.0,0.11,100000
0.15,0.95,1.0,0.15,100000
0.2,0.95,1.0,0.19,100000
0.25,0.95,1.0,0.24,100000
0.3,0.95,1.0,0.27,100000
0.35,0.95,1.0,0.31,100000
0.4,0.95,1.0,0.33,100000
0.45,0.95,1.0,0.37,100000
0.5,0.95,1.0,0.39,100000
0.55,0.95,1.0,0.43,100000
0.6,0.95,1.0,0.45,100000
0.65,0.95,1.0,0.47,100000
0.7,0.95,1.0,0.49,100000
0.75,0.95,1.0,0.51,100000
0.8,0.95,1.0,0.52,100000
0.85,0.95,1.0,0.54,100000
0.9,0.95,1.0,0.57,100000
0.95,0.95,1.0,0.57,100000
1.0,0.95,1.0,0.61,100000
0.0,1.0,1.0,0.03,100000
0.05,1.0,1.0,0.07,100000
0.1,1.0,1.0,0.1,100000
0.15,1.0,1.0,0.15,100000
0.2,1.0,1.0,0.19,100000
0.25,1.0,1.0,0.23,100000
0.3,1.0,1.0,0.25,100000
0.35,1.0,1.0,0.29,100000
0.4,1.0,1.0,0.32,100000
0.45,1.0,1.0,0.35,100000
0.5,1.0,1.0,0.38,100000
0.55,1.0,1.0,0.4,100000
0.6,1.0,1.0,0.43,100000
0.65,1.0,1.0,0.46,100000
0.7,1.0,1.0,0.48,100000
0.75,1.0,1.0,0.49,100000
0.8,1.0,1.0,0.51,100000
0.85,1.0,1.0,0.52,100000
0.9,1.0,1.0,0.56,100000
0.95,1.0,1.0,0.57,100000
1.0,1.0,1.0,0.58,100000